ID,Match #,Batting_Runs,Batting_Mins,Balls Faced,4s,6s,SR,Batting_Pos,Batting_Dismissal,Batting_Inns,Overs,Mdns,Bowling_Runs,Wkts,Bowling_Econ,Bowling_Pos,Bowling_Inns,Catch Taken,Inns,Opposition,Ground,Start Date,
462,Test # 1589,176,440,316,23,0,55.69,4,caught,2,-1,-,-,-,-,-,1,0,1,Test v Zimbabwe,Nagpur,21-Feb-02,176
463,Test # 1589,-1,-,-,-,-,-,-,-,4,6,2,11,0,1.83,5,3,1,3,Test v Zimbabwe,Nagpur,21-Feb-02,-1
464,Test # 1591,36,124,119,5,0,30.25,4,lbw,2,1,0,6,0,6,7,1,1,1,Test v Zimbabwe,Delhi,28-Feb-02,36
465,Test # 1591,42,78,52,7,1,80.76,5,lbw,4,-1,-,-,-,-,-,3,0,3,Test v Zimbabwe,Delhi,28-Feb-02,42
466,Test # 1598,79,191,136,13,0,58.08,4,lbw,2,3,0,18,0,6,7,1,0,1,Test v West Indies,Georgetown,11-Apr-02,79
467,Test # 1598,-1,-,-,-,-,-,-,-,4,-1,-,-,-,-,-,3,0,3,Test v West Indies,Georgetown,11-Apr-02,-1
468,Test # 1599,117,356,260,14,0,45,4,lbw,1,-1,-,-,-,-,-,2,1,2,Test v West Indies,Port of Spain,19-Apr-02,117
469,Test # 1599,0,16,4,0,0,0,4,lbw,3,1,0,6,0,6,5,4,0,4,Test v West Indies,Port of Spain,19-Apr-02,0
470,Test # 1601,0,4,2,0,0,0,4,caught,1,1,0,7,0,7,6,2,1,2,Test v West Indies,Bridgetown,02-May-02,0
471,Test # 1601,8,32,17,1,0,47.05,4,lbw,3,1,0,1,0,1,1,4,0,4,Test v West Indies,Bridgetown,02-May-02,8
472,Test # 1602,0,2,1,0,0,0,4,caught,1,34,4,107,2,3.14,5,2,0,2,Test v West Indies,St John's,10-May-02,0
473,Test # 1602,-1,-,-,-,-,-,-,-,3,-1,-,-,-,-,-,4,0,4,Test v West Indies,St John's,10-May-02,-1
474,Test # 1604,41,94,63,7,0,65.07,4,bowled,2,-1,-,-,-,-,-,1,0,1,Test v West Indies,Kingston,18-May-02,41
475,Test # 1604,86,162,139,13,0,61.87,4,bowled,4,-1,-,-,-,-,-,3,0,3,Test v West Indies,Kingston,18-May-02,86
476,ODI # 1836,34,64,45,2,0,75.55,4,not out,2,-1,-,-,-,-,-,1,0,1,ODI v West Indies,Bridgetown,29-May-02,34
477,ODI # 1838,65,110,70,3,1,92.85,4,bowled,1,3,0,20,1,6.66,6,2,0,2,ODI v West Indies,Port of Spain,02-Jun-02,65
478,ODI # 1848,1,12,9,0,0,11.11,4,lbw,2,-1,-,-,-,-,-,1,0,1,ODI v England,Lord's,29-Jun-02,1
479,ODI # 1849,49,123,70,3,1,70,4,caught,2,-1,-,-,-,-,-,1,0,1,ODI v Sri Lanka,The Oval,30-Jun-02,49
480,ODI # 1851,105,167,108,8,1,97.22,4,not out,1,-1,-,-,-,-,-,2,0,2,ODI v England,Chester-le-Street,04-Jul-02,105
